index,statement,label
0,"Says the health care law rations care, like systems in Canada and Great Britain.",1
1,"The Great Lakes Compact has a loophole. And the loophole is that while you cannot remove the water in a big transport, you can remove it in containers of 5.7 gallons or less.",0
2,Obama has chosen to deny the vicious anti-Semitic motivation of the attack on a kosher Jewish grocery in Paris.,1
3,"Says that according to a study, under Obamas health care initiative, nearly 90 percent of people in Wisconsin with health insurance will have their costs go up by more than 30 percent.",1
4,Forty-seven percent of Americans pay no income tax.,0
5,Candidate Bill Byrne used campaign funds for work on his personal car.,0
6,"Since Gov. Nathan Deal office in 2011, the states rainy day fund has grown by 643 percent.",0
7,"Says Hillary Clintoninsists that when the progressive agenda encounters religious beliefs to the contrary, those beliefs have to be changed.",0
8,Sean Duffy backed plan to privatize Social Security.,1
9,"In the 2011 legislative session, DEQs budget was cut 18.5 percent a disproportionate cut compared to other natural resource agencies.",0
10,"For the past year, I was censored and muzzled.",1
11,Personal income is growing faster in Tennessee on average than any other state in the country.,1
12,"Says McCain once said that on ""the most important issues of our day, I've been totally in agreement and support of President Bush.""",0
13,Says income tax rates under Eisenhower were as high as 90 percent.,0
14,"In ad attacking Rick Scott, says three executives of the Columbia/HCAhospital chain he ran were indicted.",0
15,Planned Parenthood is nothing more than a referral service. They dont do anything except profit from killing babies and then selling body parts of those aborted babies.,1
16,"If President Barack Obama strikes a nuclear deal with Iran, the next president could revoke such an executive agreement with the stroke of a pen and future Congresses could modify the terms of the agreement at any time.",0
17,DELINGPOLE: Paris - Trump Just Dodged A $2.5 Trillion Bullet,0
18,State revenue projections have missed the mark month after month.,0
19,Says he created more than 500 American jobs.,1
20,"The man who was in charge of the investigation of Hillary Clinton accepted essentially from Hillary Clinton $675,000 that went to his wife.",1
21,Social Security is a Ponzi scheme.,1
22,"The health care plan for members of Congress ""is no better than the janitor who cleans their offices.""",0
23,"In Massachusetts, Gov. Romney narrowed the gap between students of different races.",0
24,"Jerry Heller, Music Manager Who Promoted N.W.A and Gangsta Rap, Dies at 75 - The New York Times",0
25,"""My husband didn't wrap up the nomination until June.""",1
26,The United States has the highest rate of childhood poverty of almost any major country on Earth.,0
27,The Capitol Police force is going so far as to use paramilitary equipment in dealing with singing protesters in Madison,1
28,"Disappointed in Rio, Tatyana McFadden Returns to Form in New York City Marathon - The New York Times",0
29,Government Report: Islamists Building ’Parallel Society’ in Sweden Aided By PC Culture,0
30,"Says U.S. Senate hopeful Tammy Baldwin voted for a $1 trillion stimulus bill that included a wasteful $800,000 to replace light bulbs.",1
31,Cubs Defeat Dodgers to Clinch First Pennant Since 1945 - The New York Times,0
32,Immigrants Who Came to U.S. as Children Fear Deportation Under Trump - The New York Times,0
33,,1
34,Wisconsin women are paid 81 cents to the dollar of a man doing the same job.,1
35,"""If we went back to the obesity rates that existed back in the 1980s, the Medicare system over several years could save as much as a trillion dollars.""",1
36,Says he never said he wanted to move Social Security back to the states.,1
37,Says Gov. Scott Walkers budget includes tax breaks for corporations and the rich that will cost the state of Wisconsin taxpayers $2.3 billion over the next decade.,0
38,The only growth sector that weve had in the last two years in America is government growth.,1
39,"There have been literally hundreds of new tax preferences and loopholes added to the code since 1986, last time we did this.",0
40,Muhammad Ali Dies at 74: Titan of Boxing and the 20th Century - The New York Times,0
41,Just remember this: the presidents health care bill put 30 million people on health care rolls that werent there before.,0
42,On mandating health care coverage.,1
43,"In Jeanne Shaheen, New Hampshire has a Senator who was the deciding vote to pass Obamacare.",1
44,Says MAX carries 30 percent of evening rush-hour commuters traveling from Downtown on the Sunset and Banfield freeways.,0
45,Obamacare cuts seniors Medicare.,1
46,"Florida teachers are ""already paid $5,000 below the national average.""",0
47,Rhode Island Treasurer Gina Raimondo raised the mortality rate from 65 to 87 and used a 1994 annuity chart to create the pension crisis.,1
48,Wisconsin is below the national average in wage growth and job growth.,0
49,Says Donald Trump says he has foreign policy experience because he ran the Miss Universe pageant in Russia.,0
50,Says gubernatorial recall candidate Tom Barrett supported passage of Gov. Scott Walkers bill stripping collective bargaining of state employees.,1
51,"While our people work longer hours for lower wages, almost all new income goes to the top 1 percent.",0
52,"SaysVirginia RepublicanScott Taylor has been convicted in at least four different courts across the country, at times failing to even appear, and having a warrant issued for his arrest.",0
53,How I Learned to Tolerate Blake Lively - The New York Times,0
54,"We do not have an overcrowding problem. As a matter of fact, Rhode Island has one of the lowest incarceration rates in the country.",0
55,"We know from ... the federal data, that they only stop or apprehend one out of four illegal people crossing our border.",1
56,Says Texas school systems lose 45 days a year on testing.,1
57,Michael Moore’s ‘Morning After To-Do List’ Is Going Viral – Maybe This Time We Will Listen,1
58,November Kale,1
59,We have had over 40 days this summer where it was unsafe to breathe the air.,0
60,"The Hunger Strike, the Protest Tactic of Gandhi, is Vexing Iran’s Penal Overseers - The New York Times",0
61,"As governor, I cut $5 billion in spending.",0
62,A United Nations working group has adopted a proposed agenda to enable member nations to disarm civilians within their borders.,1
63,Says shes tried over 100 jury cases in Travis County courts.,1
64,"LIKE FROM A MOVIE, MIKE PENCE DID SOMETHING AMAZING AT A TRUMP RALLY TODAY!",1
65,Nearly 90% of Travis County government races will be settled by the time of the Democratic primary.,0
66,On transportation financing,0
67,"For every week that (state lawmakers are) able to cut off our timeline, it saves (Georgia taxpayers) approximately $100,000.",0
68,In Case You Missed…,1
69,The United States has the highest incarceration rate in the world.,0
70,WATCH: UT Students Protest Trump,1
71,"EXPOSED! Iraqi Car Bomb Crisis Actor Fakery, Caught On Camera",1
72,"Mitt Romneys and Bain Capitals profits from KB Toys, which later went out of business, were described by the Boston Herald as disgusting.",1
73,Scott Walkers income tax plan is a tax hike. It increases taxes for nearly 80% of the people in the state.,1
74,"Hillary Clintons E-Mails und die Muslimbruderschaft, von Thierry Meyssan",1
75,"Wisconsin ranks No. 2 in economic growth, according to the Federal Reserve Bank of Philadelphia.",1
76,He Saved Thousands From The Nazis By Writing Their Visas By Hand,1
77,"Education funding of $7,176 per student is a historic level.",0
78,Putin says its too early for him to retire,1
79,"""I'm the product of a mixed marriage that would have been illegal in 12 states when I was born.""",0
80,Says the City of Portland alone has 84 public relation representatives on payroll which cost taxpayers over $6.2 million (a year).,1
81,The presidents own advisers have said theres a war on coal.,1
82,Comment on Leaked Soros Memo Reveals Potential Plan to Use Black Lives Matter to Federalize US Police by fungirl91,1
83,"The Internal Revenue code has ballooned to a 5,600-page, 4 million-word complicated mess that is seven times as long as the Bible with none of the good news.",0
84,The increase in the garbage tax that [Mayor Allan Fung] imposed in Cranston for some people has been as much as $200.,1
85,"""Hillary interned with Bob Treuhaft, the head of the California Communist Party.""",1
86,Actor Mark Ruffalo Joins Activists In ND To Protest Dakota Access Pipeline,1
87,"State: Official Portraits of POTUS, VPOTUS, Cabinet Not Yet in Place - Breitbart",0
88,"Shimon Peres, Former Prime Minister of Israel, Suffers a Stroke - The New York Times",0
89,Weve caught Iran cheating on the interim (nuclear) deal.,1
90,Up to 45 percent of illegal immigrants are not people that physically crossed the southern border or northern border. They are visa overstayers.,0
91,Says she has opposed measures to weaken the Dodd-Frank Wall Street regulatory bill and campaign-finance legislation when they were offered as stand-alone bills.,0
92,"""What they will do is socialized medicine.""",1
93,Wolf Blitzer Walks Into Middle Of Olive Garden Commercial To Announce Breaking Election Results - The Onion - America's Finest News Source,1
94,,1
95,"Lean, finely textured beef is the proper name [not pink slime], and it is a safe, widely used product.",0
96,"Food stamp spending doubled under President Bush, doubled again under President Obama.",0
97,Huge Crowds Pay Respects to PC Murdered by Westminster Terrorist,0
98,Washington Transit Officer Is Charged With Helping ISIS - The New York Times,0
99,Republicans went out of the way to praise (Eric) Holders nomination. ... Not a single Republican senator opposed Eric Holders nomination.,0
100,"With his proposal to cut income and property taxes, Scott Walker is increasing the state deficit at a time when borrowing is already at record levels.",1
101,Says she voted against the Medicare Part D prescription drug program because it was unfunded.,1
102,Turkey Was an Unlikely Victim of an Equally Unlikely Coup - The New York Times,0
103,Says Charlie Bass forfeits right to equal cost for TV ads under FCC rules,1
104,"""The vast majority of the money I got was from small donors all across the country.''",1
105,"To give a sense of how families are struggling, a record four out of every 10 school kids in Ohio now qualifies for subsidized lunch.",0
106,TRUNEWS 11/02/16 Jim Rickards | Spook D’etat: Deep State Civil War,1
107,On mandatory ultrasounds before abortions.,0
108,Eleven states have enacted these pay-to-play reforms.,0
109,Says Obama refuses to recognize Jerusalem as the capital of Israel.,0
110,Top 7 Conservative Manifesto Pledges to Worry Brexiteers,0
111,Says New Hampshires second congressional district includes two counties where almost 5 percent if not more of residents are enrolled in the states expanded Medicaid program.,0
112,"Why would our president close the embassy to the Vatican? Hopefully, it is not retribution for Catholic organizations opposing Obamacare.",1
113,President Obama . . . wants to mandate circumcision.,1
114,Hillary Clinton Talks To Dead People ADMITTEDLY NO JOKE,1
115,75 percent of the Obamacare tax falls on the middle class.,1
116,There have been 74 school shootings in America since Sandy Hook.,1
117,"Ive created over 40,000 jobs.",1
118,Latinos now make up the majority population in Texas.,1
119,"Weve added, in the last eight years, $4 trillion of debt to the nations obligations.",0
120,97 percent of the 100 poorest counties in America are in red states.,0
121,Secular Americans are the fastest-growing religious identification demographic in this country.,0
122,Every Florida teacher gets a pay raise.,0
123,Black Lives Matter Activists Stage Protests Across Britain - The New York Times,0
124,The budget I managed at the Department of Education was more than $60 million.,0
125,"Georgia is on track for 1,200 traffic fatalities this year, a reversal of nine years of declines.",0
126,Two-thirds of the people who start out in minimum wage are above the minimum wage within a year.,0
127,"Here in California, Donald Trump has given $12,000 to Jerry Brown, Gavin Newsom and Kamala Harris.",0
128,"In the United States, weve had 12 years in a row of wages declining.",0
129,"Seniors and the disabled will have to stand in front of Obamas death panel so his bureaucrats can decide, based on a subjective judgment of their level of productivity in society, whether they are worthy of health care.",1
130,You look at defense were spending more than the rest of the world combined.,1
131,"Ohios credit rating is as high as you can get, AA+.",1
132,"The Democratic health care bill will ""collect higher taxes for 10 years and provide health care for only six years.""",0
133,Cristina Fernández de Kirchner Indicted Again on Corruption Charges - The New York Times,0
134,We know that Saudi Arabia started al-Qaida.,0
135,Says U.S. Rep. Debbie Wasserman Schultz voted to cut off Floridas veterans and their benefits.,1
136,"In our community college system (state) cuts have reduced funding per student by $1,908.",0
137,Women (are) paid 77 cents on the dollar for doing the same work as men.,1
138,On oil drilling off Floridas coast,0
139,Donald Trump: ’Anti-Semitism is Horrible’,0
140,E3 Hands-On with ’Agents of Mayhem’: ’Saints Row’ Follow-Up Feels Criminally Underwhelming - Breitbart,0
141,The Trumpflation Scam And The Fiscal Bloodbath Ahead,1
142,On delaying a health care mandate on business.,0
143,The presidents first major foreign policy speech in Cairo was to apologize for our country.,1
144,The richest 80 people in the world own more wealth than the bottom half of the global population.,0
145,,1
146,Oakland's Honor Band Kneels in Protest of Police Violence,1
